Unit,Bucks,Does,Fawns,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags
6,15,19,1,20,35,36,96,48,All Regular Rifle Seasons,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Regular Rifle Seasons,58.3,84.7,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"AE006W1R,AF006O1A,AF006O1R,AF006W1R,AM006O1A,AM006O1M,AM006O1R"
6,19,4,0,4,23,57,40,267,All Archery Seasons,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Archery Seasons,92.3,134.1,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"AE006W1R,AF006O1A,AF006O1R,AF006W1R,AM006O1A,AM006O1M,AM006O1R"
6,8,20,0,20,28,43,66,105,All Muzzleloader Seasons,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Muzzleloader Seasons,69.6,101.2,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"AE006W1R,AF006O1A,AF006O1R,AF006W1R,AM006O1A,AM006O1M,AM006O1R"
6,6,8,0,8,14,14,100,33,All Ranching for Wildlife Seasons,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Ranching for Wildlife Seasons,22.7,32.9,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"AE006W1R,AF006O1A,AF006O1R,AF006W1R,AM006O1A,AM006O1M,AM006O1R"
7,22,14,3,17,38,148,26,549,All manners of take,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All manners of take,348,398,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
7,8,12,0,12,20,39,50,117,All Rifle Seasons,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All Rifle Seasons,91.7,104.9,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
7,8,12,0,12,20,39,50,117,All Regular Rifle Seasons,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All Regular Rifle Seasons,91.7,104.9,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
7,10,2,0,2,12,96,12,388,All Archery Seasons,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All Archery Seasons,225.7,258.2,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
7,5,0,3,3,7,12,58,45,All Muzzleloader Seasons,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All Muzzleloader Seasons,28.2,32.3,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
7,3,12,0,12,15,26,58,76,All Private Land Only Seasons,  425,  372,87%,40.81506446568107,-105.99136984657552,"  272,221","  237,961",7 All Private Land Only Seasons,61.1,69.9,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576,"AE000U1A,AF006O1M,AF007O1M,AF007O1R,AF007P1R,AM007O1M,AM007O1R,AM007P1R"
